Task,Where,Priority,Latency,MissedDeadline
t0,edge,normal,1.0,False
t1,edge,normal,1.2666666666666666,False
t2,edge,normal,1.5333333333333332,False
t3,edge,normal,2.066666666666667,False
t4,edge,normal,2.6000000000000005,False
t6,edge,normal,4.2,False
t5,edge,urgent,4.9,True
t7,edge,normal,5.266666666666667,False
t8,edge,normal,6.333333333333333,False
t9,edge,normal,7.666666666666667,False
t10,edge,normal,8.999999999999998,True
t11,edge,normal,10.333333333333332,True
t12,edge,normal,11.933333333333332,True
t13,edge,normal,13.533333333333331,True
t14,edge,normal,15.399999999999999,True
t15,edge,normal,17.266666666666666,True
t16,edge,normal,19.133333333333333,True
t17,edge,normal,21.0,True
t18,edge,normal,22.866666666666667,True
t19,edge,normal,24.733333333333334,True
t20,edge,normal,26.866666666666667,True
t21,edge,normal,29.0,True
t22,edge,normal,31.133333333333333,True
t23,edge,urgent,34.766666666666666,True
t24,edge,normal,35.4,True
t25,edge,normal,37.53333333333333,True
t26,edge,normal,39.666666666666664,True
t27,edge,normal,41.8,True
t28,edge,normal,44.199999999999996,True
t29,edge,normal,46.599999999999994,True
t30,edge,normal,48.99999999999999,True
t31,edge,normal,51.39999999999999,True
t32,edge,normal,53.79999999999999,True
t33,edge,normal,56.466666666666654,True
t34,edge,normal,59.399999999999984,True
t35,edge,normal,62.33333333333332,True
t36,edge,normal,65.26666666666665,True
t37,edge,normal,68.19999999999999,True
t38,edge,normal,71.13333333333333,True
t39,edge,normal,74.06666666666666,True
t40,edge,normal,77.26666666666667,True
t41,edge,normal,80.46666666666667,True
t42,edge,normal,83.66666666666667,True
t43,edge,normal,86.86666666666667,True
t44,edge,normal,90.06666666666668,True
t45,edge,normal,93.53333333333335,True
t46,edge,normal,97.00000000000001,True
t47,edge,normal,100.46666666666668,True
t48,edge,normal,103.93333333333335,True
t49,edge,urgent,108.90000000000002,True
t50,edge,normal,110.86666666666669,True
t51,edge,normal,114.60000000000002,True
t52,edge,normal,118.33333333333336,True
t53,edge,normal,122.06666666666669,True
t54,edge,normal,126.06666666666669,True
t55,edge,normal,130.0666666666667,True
t56,edge,normal,134.0666666666667,True
t57,edge,normal,138.0666666666667,True
t58,edge,normal,142.0666666666667,True
t59,edge,normal,146.0666666666667,True
